,sale_date,sale_price,pred_lr,pred_rf
8162,2013-06-13,13.38472764187182,13.424496568739414,13.430589911128896
18802,2013-06-13,13.038981768465275,13.311831951141357,13.27860563530654
491,2013-06-13,13.593616226050493,13.720225617289543,13.697329164186964
14824,2013-06-13,14.04876997098512,13.881225883960724,14.005372858469649
6873,2013-06-13,14.115615150414612,13.703443229198456,13.714505687579193
16988,2013-06-13,14.808762330974558,14.809738717973232,14.613858372315097
17942,2013-06-13,14.790070197962404,14.689928397536278,14.346324146168543
10372,2013-06-13,13.487006490992238,13.387022227048874,13.46512169872181
12579,2013-06-13,14.868078908130975,14.726151153445244,14.799185841848882
7194,2013-06-13,13.951788176256821,13.883615411818027,13.852828639537982
18851,2013-06-13,13.604789526648624,13.5442333817482,13.872371671148018
14330,2013-06-13,13.005829561148376,13.194386534392834,13.169511730907573
20146,2013-06-14,14.137594057133386,13.721215024590492,13.811200832258773
20897,2013-06-14,14.337276121768598,14.110423281788826,13.932286012144038
3961,2013-06-14,13.901688254205327,13.993172951042652,13.736339987326835
1477,2013-06-14,13.567049198665776,13.551366940140724,13.745262316425801
10246,2013-06-14,13.815510557964275,14.177372731268406,13.908721595039344
628,2013-06-14,13.579788224443204,13.436209335923195,13.56536733112816
10831,2013-06-14,15.040755497565751,14.689035467803478,14.758900637381448
14563,2013-06-14,13.652991628466498,13.549172900617123,13.51444849280477
15974,2013-06-14,13.5985975564007,13.52600897103548,13.430852232596278
2885,2013-06-14,14.183619879528669,14.340225018560886,14.098199976557447
12356,2013-06-14,13.715690222682063,13.552384845912457,13.821342744530062
5323,2013-06-14,13.924364962876355,13.88748873770237,13.827594413140355
1695,2013-06-14,13.45597438174451,13.412365026772022,13.547050082058215
11209,2013-06-14,15.541842221869874,15.382959708571434,15.25309564279018
12481,2013-06-14,13.255669744712556,13.209198698401451,13.409614980496071
14838,2013-06-14,15.501909511534505,14.927437797188759,14.843971318647583
16262,2013-06-14,14.669925886120346,14.593123629689217,14.393658561359448
18949,2013-06-14,14.994165554305921,14.560247577726841,15.07118845572725
20554,2013-06-14,13.105217218569358,13.14566858112812,13.315248262569082
817,2013-06-17,13.399995114002607,13.26249123364687,13.491306205955238
19995,2013-06-17,13.981024996441848,13.845195569097996,13.647012673093853
8271,2013-06-17,13.835313185260453,13.621152274310589,13.782760926282538
8033,2013-06-17,13.081541382884073,13.297421514987946,13.386395103108505
5900,2013-06-17,13.852806342707973,14.112023368477821,13.973051904766418
20308,2013-06-18,13.38472764187182,13.261790066957474,13.663763093390273
6370,2013-06-18,13.592367006650065,13.785724960267544,13.92085059639432
3064,2013-06-18,13.676248490630767,13.583189353346825,13.576995317965816
1988,2013-06-18,14.326836056771915,14.179436467587948,14.014418955659192
3000,2013-06-18,13.812831973758511,13.955104611814022,13.678156507803392
10928,2013-06-18,13.627975434117431,13.674445636570454,13.512204285591274
8334,2013-06-18,14.191203507738766,14.135338619351387,14.168581067976376
10306,2013-06-18,13.726679344257658,14.002079039812088,13.735065202995981
18459,2013-06-18,13.399995114002607,13.4718948751688,13.335807647854955
18449,2013-06-18,13.437174117244362,13.69692999869585,13.41916114867417
6640,2013-06-18,14.008401066107464,14.395720638334751,14.150872703652903
15285,2013-06-18,13.764217263576725,13.701077029109001,13.786007712347585
18232,2013-06-18,13.664687668229694,13.858277797698975,13.614481687573223
1860,2013-06-18,13.527828485512496,13.595272660255432,13.625684046647127
744,2013-06-18,13.62918097977278,13.69045214354992,13.812065112225833
10748,2013-06-18,13.355061141523349,13.533601127564907,13.489867477482555
5232,2013-06-18,14.100689500197936,14.25651802867651,14.189514517659187
21928,2013-06-19,13.308012724290958,13.151473976671696,13.24656642608873
15483,2013-06-19,13.737549016494564,13.799370512366295,13.814561879578255
23269,2013-06-19,13.815510557964275,13.86194410175085,13.910180425365452
21160,2013-06-19,13.992170283464922,13.72358550131321,13.720271356145103
21879,2013-06-19,13.432784936825596,13.389639623463154,13.275788428886237
2459,2013-06-19,14.17318500223609,14.199458442628384,13.932940761128215
6921,2013-06-19,13.403020834919145,13.51199208945036,13.40081194872568
19239,2013-06-19,14.038654109278484,13.54239110648632,13.857655762608653
6419,2013-06-19,13.38472764187182,13.289591200649738,13.340796859083332
6252,2013-06-20,14.648419680899377,14.53346411138773,14.36859683969233
11346,2013-06-20,13.429848077152288,13.29382686316967,13.368516350875213
1130,2013-06-20,13.327750207129279,13.264735840260983,13.418255137543934
18862,2013-06-20,13.62918097977278,13.618628807365894,13.502300619784153
12810,2013-06-20,14.637490610367188,14.511317640542984,14.455303493348229
15870,2013-06-20,13.889689956138525,13.991236925125122,14.177453971239181
7743,2013-06-20,14.37455475400074,14.383016034960747,14.053769385755052
13661,2013-06-20,14.978661367769954,14.948701731860638,15.086363524806591
5463,2013-06-21,13.981024996441848,13.817875146865845,13.796387714016118
4720,2013-06-21,13.687677186454387,13.725615091621876,13.818909606014417
