,sale_date,neighborhood
437,2016-01-22,Parkside
438,2009-08-26,Outer Sunset
439,2017-05-12,Outer Sunset
440,2009-06-10,Outer Sunset
441,2016-03-17,Outer Sunset
442,2011-03-11,Outer Sunset
443,2011-01-19,Outer Sunset
444,2015-07-24,Outer Sunset
445,2010-09-09,Outer Sunset
446,2012-09-28,Outer Sunset
447,2015-08-14,Outer Sunset
448,2014-06-25,Outer Sunset
449,2015-01-15,Outer Sunset
450,2014-10-16,Outer Sunset
451,2009-08-14,Outer Sunset
452,2009-02-20,Outer Sunset
453,2010-12-09,Parkside
454,2014-09-30,Parkside
455,2017-08-14,Outer Sunset
456,2012-03-20,Outer Sunset
457,2013-10-22,Parkside
458,2012-11-30,Outer Sunset
459,2016-09-29,Outer Sunset
460,2009-08-28,Outer Sunset
461,2015-10-26,Sutro Heights
462,2010-12-23,Outer Sunset
463,2010-03-05,Outer Sunset
464,2016-07-19,Outer Sunset
465,2014-07-16,Outer Sunset
466,2013-10-11,Outer Sunset
467,2009-09-01,Outer Sunset
468,2009-05-08,Outer Sunset
469,2016-02-23,Outer Sunset
470,2013-03-22,Outer Sunset
471,2017-07-18,Outer Sunset
472,2009-07-24,Outer Sunset
473,2012-08-31,Outer Sunset
474,2016-05-17,Outer Sunset
475,2010-05-26,Outer Sunset
476,2009-07-10,Outer Sunset
477,2018-07-13,Outer Sunset
478,2009-01-21,Outer Sunset
479,2010-07-30,Outer Sunset
480,2012-10-31,Outer Sunset
481,2013-08-23,Outer Sunset
482,2017-07-12,Outer Sunset
483,2016-11-09,Outer Sunset
484,2017-12-15,Sutro Heights
485,2014-06-30,Outer Sunset
486,2012-10-26,Parkside
487,2013-11-06,Parkside
488,2009-09-01,Parkside
489,2013-10-22,Parkside
490,2012-10-31,Outer Sunset
491,2013-06-13,Outer Sunset
492,2012-02-09,Outer Sunset
493,2010-04-21,Outer Sunset
494,2017-05-17,Outer Sunset
495,2010-07-16,Outer Sunset
496,2018-08-08,Parkside
497,2016-01-15,Parkside
498,2018-11-15,Outer Sunset
499,2015-04-16,Outer Sunset
500,2011-01-14,Outer Sunset
501,2013-08-14,Outer Sunset
502,2013-07-12,Sutro Heights
503,2016-08-19,Outer Sunset
504,2012-02-22,Outer Sunset
505,2009-10-28,Sutro Heights
506,2016-05-24,Sutro Heights
507,2012-04-05,Outer Sunset
508,2014-03-18,Outer Sunset
509,2015-12-22,Outer Sunset
510,2010-10-29,Outer Sunset
511,2010-08-31,Sutro Heights
512,2014-08-12,Sutro Heights
513,2010-12-10,Outer Sunset
514,2015-02-10,Outer Sunset
515,2013-11-06,Sutro Heights
516,2016-08-12,Sutro Heights
517,2012-10-18,Outer Sunset
518,2018-11-01,Outer Sunset
519,2012-04-03,Outer Sunset
520,2017-09-13,Outer Sunset
521,2018-08-10,Outer Sunset
522,2015-12-17,Sutro Heights
523,2012-03-08,Sutro Heights
524,2011-08-16,Outer Sunset
525,2017-07-20,Outer Sunset
526,2011-03-01,Outer Sunset
527,2013-10-08,Outer Sunset
528,2013-01-18,Sutro Heights
529,2016-10-04,Sutro Heights
530,2013-09-20,Outer Richmond
531,2018-06-12,Outer Richmond
532,2015-04-22,Sutro Heights
533,2016-05-04,Sutro Heights
534,2014-06-04,Outer Sunset
535,2013-10-28,Outer Sunset
536,2013-05-31,Outer Sunset
537,2010-10-27,Sutro Heights
538,2015-08-07,Sutro Heights
539,2009-09-28,Outer Sunset
540,2013-01-08,Outer Sunset
541,2013-06-27,Sutro Heights
542,2016-06-10,Sutro Heights
543,2016-05-31,Outer Sunset
544,2018-06-04,Outer Sunset
545,2015-04-02,Outer Sunset
546,2012-10-30,Outer Sunset
547,2017-12-08,Outer Sunset
548,2015-03-11,Outer Sunset
549,2015-09-23,Outer Sunset
550,2014-09-16,Outer Sunset
551,2015-08-07,Outer Sunset
552,2014-08-04,Outer Sunset
553,2009-07-17,Outer Sunset
554,2009-04-21,Outer Sunset
555,2014-10-17,Sutro Heights
556,2011-03-02,Outer Sunset
557,2018-10-16,Outer Sunset
558,2016-02-12,Outer Sunset
559,2015-10-30,Outer Sunset
560,2010-03-10,Outer Sunset
561,2018-05-30,Sutro Heights
562,2017-03-24,Sutro Heights
563,2010-07-30,Outer Sunset
564,2014-07-21,Sutro Heights
565,2013-04-02,Outer Sunset
566,2011-07-15,Outer Sunset
567,2012-10-10,Outer Sunset
568,2011-03-03,Outer Sunset
569,2011-07-26,Outer Richmond
570,2013-04-18,Outer Sunset
571,2010-09-10,Outer Sunset
572,2017-06-30,Outer Sunset
573,2014-07-23,Outer Richmond
574,2018-05-09,Outer Richmond
575,2016-11-23,Outer Sunset
576,2015-10-09,Outer Sunset
577,2015-09-01,Outer Richmond
578,2013-10-29,Outer Sunset
579,2009-10-30,Outer Sunset
580,2016-06-10,Outer Sunset
581,2013-06-21,Outer Sunset
582,2010-05-06,Outer Richmond
583,2010-10-22,Outer Richmond
584,2016-08-31,Outer Richmond
585,2013-06-25,Outer Sunset
586,2017-02-09,Outer Sunset
587,2013-05-29,Outer Richmond
588,2009-11-19,Outer Sunset
589,2017-06-23,Outer Sunset
590,2018-04-16,Outer Sunset
591,2018-06-25,Outer Richmond
592,2015-07-08,Outer Sunset
593,2012-03-05,Outer Sunset
594,2018-07-17,Outer Sunset
595,2010-12-17,Outer Sunset
596,2016-12-19,Outer Richmond
597,2017-07-10,Outer Sunset
598,2009-08-26,Outer Sunset
599,2012-02-22,Outer Sunset
600,2010-11-24,Outer Sunset
601,2017-01-04,Outer Sunset
602,2017-09-08,Outer Sunset
603,2015-12-14,Outer Sunset
604,2013-10-02,Outer Sunset
605,2012-10-30,Outer Richmond
606,2017-11-21,Outer Sunset
607,2014-12-04,Outer Sunset
608,2009-10-14,Outer Sunset
609,2016-01-25,Outer Sunset
610,2009-02-27,Outer Richmond
611,2012-02-24,Outer Richmond
612,2012-01-24,Outer Richmond
613,2009-11-20,Outer Sunset
614,2016-01-07,Outer Sunset
615,2011-06-15,Outer Sunset
616,2014-11-14,Outer Sunset
617,2015-06-18,Outer Sunset
618,2017-04-14,Outer Richmond
619,2011-05-03,Outer Richmond
620,2009-12-15,Outer Sunset
621,2010-08-26,Outer Richmond
622,2015-05-06,Outer Sunset
623,2018-11-02,Parkside
624,2011-09-08,Outer Sunset
625,2011-10-06,Outer Richmond
626,2015-06-02,Outer Richmond
627,2010-09-10,Outer Richmond
628,2013-06-14,Outer Sunset
629,2016-03-18,Outer Sunset
630,2010-11-03,Outer Sunset
631,2011-10-28,Outer Sunset
632,2014-11-14,Outer Sunset
633,2011-05-17,Parkside
634,2013-03-06,Outer Sunset
635,2017-11-14,Outer Sunset
636,2017-11-16,Outer Sunset
637,2009-06-05,Outer Sunset
638,2016-02-17,Outer Sunset
639,2011-01-20,Outer Sunset
640,2010-04-30,Outer Sunset
641,2012-03-28,Outer Sunset
642,2015-10-13,Outer Sunset
643,2013-03-29,Outer Sunset
644,2017-04-13,Sutro Heights
645,2016-06-22,Outer Sunset
646,2010-12-14,Outer Sunset
647,2011-05-03,Outer Sunset
648,2015-10-28,Outer Sunset
649,2009-06-30,Outer Sunset
650,2013-05-22,Outer Sunset
651,2015-07-28,Outer Sunset
652,2016-10-28,Outer Sunset
653,2009-09-08,Outer Sunset
654,2012-06-21,Outer Sunset
655,2011-01-31,Outer Sunset
656,2012-07-31,Parkside
657,2013-09-11,Outer Sunset
658,2018-03-21,Outer Sunset
659,2013-05-24,Outer Sunset
660,2011-01-14,Outer Sunset
661,2014-07-02,Outer Sunset
662,2010-10-15,Outer Sunset
663,2015-07-06,Outer Sunset
664,2017-05-09,Parkside
665,2015-02-17,Outer Sunset
666,2013-12-13,Outer Sunset
667,2012-04-17,Outer Sunset
668,2018-05-08,Outer Sunset
669,2014-03-06,Outer Sunset
670,2014-01-13,Outer Sunset
671,2012-12-13,Outer Richmond
672,2009-11-17,Sutro Heights
673,2014-08-15,Outer Sunset
674,2015-04-30,Outer Sunset
675,2009-06-19,Sutro Heights
676,2010-08-04,Outer Sunset
677,2013-06-06,Outer Sunset
678,2017-10-06,Sutro Heights
679,2013-05-24,Outer Sunset
680,2011-12-02,Sutro Heights
681,2009-07-31,Outer Sunset
682,2015-07-24,Outer Sunset
683,2009-02-13,Outer Sunset
684,2011-09-27,Outer Sunset
685,2011-09-26,Outer Sunset
686,2013-06-28,Outer Sunset
687,2011-10-29,Outer Sunset
688,2016-04-01,Outer Sunset
689,2013-10-16,Outer Sunset
690,2016-11-03,Outer Sunset
691,2010-05-07,Outer Sunset
692,2017-09-01,Outer Sunset
693,2010-09-30,Outer Sunset
694,2018-08-22,Outer Sunset
695,2010-04-07,Outer Sunset
696,2015-06-30,Outer Sunset
697,2009-07-22,Outer Sunset
698,2018-05-22,Sutro Heights
699,2013-10-02,Sutro Heights
700,2012-02-29,Sutro Heights
701,2018-10-26,Outer Richmond
702,2017-12-18,Outer Sunset
703,2018-10-26,Outer Sunset
704,2009-09-18,Outer Richmond
705,2013-05-30,Outer Sunset
706,2016-11-08,Outer Sunset
707,2013-01-28,Outer Sunset
708,2010-01-08,Outer Sunset
709,2009-07-23,Outer Sunset
710,2013-05-16,Outer Sunset
711,2014-10-28,Outer Sunset
